"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Human","Blood","Peripheral blood","Cancer cell","Cancer cell","MITF","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Cancer cell","Cancer cell","MLANA","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","MLXIP","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","B cell","MS4A1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","MTSS1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","MYC","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","MYC","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","MYO1F","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","MYO1G","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","NCAM1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","NDFIP1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","NELL2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","NELL2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","NKG7","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","NOG","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","NOSIP","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","NOSIP","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","NPAT","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","NPM1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Dendritic cell","NRP1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","NT5E","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","OSBPL5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","OXNAD1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","PASK","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","PATL2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","PDE3B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","PDK1","Single-cell sequencing","1","DETAIL"
